03/22/2023-14:44:22.921246  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:33990 -> 91.189.91.38:80
03/22/2023-14:44:22.921246  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:33990 -> 91.189.91.38:80
03/22/2023-14:44:22.921246  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:33990 -> 91.189.91.38:80
03/22/2023-14:44:23.331292  [**] [1:2013504:6] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.10:33990 -> 91.189.91.38:80
03/22/2023-15:08:10.493526  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:37880 -> 18.155.68.104:80
03/22/2023-15:08:10.564164  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.68.104:80 -> 192.168.1.10:37880
03/22/2023-15:10:32.450050  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:55016 -> 18.155.68.91:80
03/22/2023-15:10:32.522136  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.68.91:80 -> 192.168.1.10:55016
03/22/2023-15:20:45.470821  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.1.10:52866 -> 91.189.91.43:443
03/22/2023-15:21:44.429357  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 18.169.120.191:443 -> 192.168.1.10:54548
03/22/2023-15:34:46.347402  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:38900 -> 18.155.68.66:80
03/22/2023-15:34:46.419318  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.68.66:80 -> 192.168.1.10:38900
03/22/2023-15:35:11.399589  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:46090 -> 18.155.68.70:80
03/22/2023-15:35:11.469379  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.68.70:80 -> 192.168.1.10:46090
03/22/2023-15:41:15.702408  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:34724 -> 18.155.68.66:80
03/22/2023-15:41:15.772770  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.68.66:80 -> 192.168.1.10:34724
03/22/2023-17:21:02.900356  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.1.10:58794 -> 20.60.30.68:443
03/22/2023-17:37:27.099635  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:59250 -> 18.155.68.91:80
03/22/2023-17:37:27.176227  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.68.91:80 -> 192.168.1.10:59250
03/22/2023-17:38:32.022435  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:52922 -> 31.13.79.35:80
03/22/2023-19:56:09.592725  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.1.10:56838 -> 213.227.184.137:443
03/22/2023-21:11:44.805591  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:51104 -> 18.155.68.91:80
03/22/2023-21:11:44.882794  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.68.91:80 -> 192.168.1.10:51104
03/22/2023-21:12:20.755290  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:32884 -> 18.155.68.70:80
03/22/2023-21:12:20.835886  [**] [1:2100498:7] GPL ATTACK_RESPONSE id check returned root [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 18.155.68.70:80 -> 192.168.1.10:32884
03/22/2023-21:14:47.819914  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.1.10:47610 -> 120.89.96.211:443
03/22/2023-21:14:49.021466  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.1.10:58262 -> 182.79.161.233:443
03/22/2023-21:14:50.336853  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.1.10:58358 -> 23.246.54.152:443
03/22/2023-21:15:08.623645  [**] [1:2260001:1] SURICATA Applayer Wrong direction first Data [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.1.10:37994 -> 23.246.57.156:443
03/22/2023-21:15:19.617236  [**] [1:2210044:2] SURICATA STREAM Packet with invalid timestamp [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 120.89.96.211:443 -> 192.168.1.10:42334
03/22/2023-21:20:37.910546  [**] [1:2013028:7] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.10:41544 -> 18.155.68.70:80
